,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
0,Afghanistan,AFG,SAS,All,Low income,LIC,2003,AFG_2003_I2D2_NRVA.dta,I2D2,9530298,0.46,0.2,0.31,0.03,,0.51,0.97,0.91,0.06,2161903,0.5,0.2,0.47,1.13,0.45,0.92,0.08,0.89,0.11,0.26,0.74,0.0,0.0,0.74,,,,,0.09,0.54,0.22,0.25,0.01,0.06,0.0,0.16,0.07,0.04,0.0,0.06,0.08,0.6,0.53,0.19,0.0,0.0,0.26,0.34,0.11,0.45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.12,0.08,0.0,1.55,0.36,22.16,33.76,35.98,30.41,33.87,32.69,34.75,,28.0,7.0,0.06,50.0
1,Afghanistan,AFG,SAS,All,Low income,LIC,2007,AFG_2007_I2D2_NRVA_V01_M_V02_A.dta,I2D2,24967746,0.49,0.19,0.3,0.03,0.21,0.49,1.05,1.0,0.06,7466044,0.65,0.45,0.34,0.04,0.64,0.98,0.02,0.96,0.04,0.23,0.44,0.33,0.0,0.77,,,,,0.06,0.59,0.13,0.29,0.0,0.05,0.0,0.08,0.11,0.03,0.0,0.04,0.11,0.23,0.43,0.19,0.04,0.0,0.18,0.24,0.07,0.58,0.4,,,,,,,,,,,36.88,0.48,0.32,22.11,3258.75,3258.75,3693.25,3258.75,0.3,0.02,43.86,2.61,0.53,0.73,0.73,0.1,0.15,0.02,1.99,0.47,20.55,33.07,33.51,30.25,33.46,33.12,33.06,32.75,39.0,19.0,0.08,66.0
2,Afghanistan,AFG,SAS,All,Low income,LIC,2011,AFG_2011_I2D2_NRVA_V01_M_V02_A.dta,I2D2,26954796,0.48,0.19,0.3,0.02,0.24,0.49,1.04,0.99,0.05,6394689,0.51,0.2,0.43,,0.48,0.95,0.05,0.91,0.09,0.39,0.47,0.13,0.01,0.6,,,,,0.11,0.38,0.17,0.45,0.0,0.07,0.0,0.1,0.11,0.06,0.0,0.06,0.21,0.46,0.64,0.34,0.04,0.01,0.22,0.5,0.12,0.59,0.55,0.0,0.07,0.0,0.0,0.23,0.0,0.1,0.1,0.51,0.0,43.04,0.32,0.34,,,,,,,,,,,,0.67,0.17,0.12,0.04,2.62,0.53,20.2,32.61,33.53,29.79,32.91,32.06,32.98,32.89,22.0,5.0,0.04,29.0
3,Afghanistan,AFG,SAS,All,Low income,LIC,2013,AFG_2013_I2D2_ALCS.dta,I2D2,28020221,0.48,0.2,0.3,0.03,0.25,0.5,1.0,0.95,0.05,7043194,0.5,0.24,0.34,0.05,0.46,0.91,0.09,0.86,0.14,0.36,0.31,0.3,0.02,0.61,,,,,0.0,0.45,0.22,0.33,0.0,0.08,0.0,0.14,0.11,0.05,0.01,0.07,0.08,0.34,0.53,0.32,0.05,0.02,0.16,0.38,0.08,0.63,0.56,0.01,0.04,0.01,0.02,0.15,0.43,0.11,0.05,0.15,0.01,37.52,0.44,0.28,21.88,2607.0,1216.6,1303.5,9000.0,0.19,0.01,22.81,1.36,1.53,,0.66,0.16,0.13,0.05,9.63,0.94,20.51,32.65,32.93,30.77,33.63,32.79,32.64,32.21,53.0,38.0,0.1,73.0
4,Angola,AGO,SSF,All,Lower middle income,LMC,2000,AGO_2000_I2D2_IDR.dta,I2D2,5398976,0.49,0.22,0.28,0.02,0.86,0.5,1.02,0.98,0.04,2294941,0.88,0.88,0.04,0.08,0.83,0.95,0.05,0.93,0.07,0.38,0.47,0.11,0.05,0.58,,,,,0.11,0.17,0.12,0.71,0.01,0.05,0.0,0.06,0.46,0.05,0.01,0.07,0.11,0.8,0.79,0.36,0.02,0.02,0.43,0.55,0.11,0.63,0.4,0.03,0.05,0.06,0.02,0.25,0.16,0.14,0.04,0.26,0.0,47.17,0.18,0.39,,,,,,,,,,,,0.17,0.72,0.09,0.02,4.76,0.52,19.26,31.08,34.22,34.09,32.16,34.15,31.05,41.91,46.0,29.0,0.08,69.0
5,Angola,AGO,SSF,All,Lower middle income,LMC,2008,AGO_2008_I2D2_IBEP-MICS.dta,I2D2,16367881,0.48,0.19,0.3,0.02,0.53,0.49,1.02,0.97,0.05,6364774,0.79,0.82,0.08,0.09,0.77,0.97,0.03,0.93,0.07,0.3,0.52,0.16,0.02,0.68,,,,,0.12,0.54,0.05,0.41,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.05,0.13,0.36,0.38,0.26,0.01,0.01,0.18,0.24,0.07,0.75,0.54,0.02,0.03,0.05,0.02,0.11,0.39,0.07,0.04,0.25,0.02,,,,,,,,,,,,,,,0.22,0.65,0.08,0.06,4.97,0.77,20.31,34.34,34.35,32.06,34.64,34.61,34.24,34.56,6.0,1.0,0.01,1.0
6,Angola,AGO,SSF,All,Lower middle income,LMC,2014,AGO_2014_I2D2_CENSUS.dta,I2D2,2473602,0.48,0.18,0.32,0.02,0.63,0.5,0.99,0.95,0.05,736493,0.61,0.53,0.18,,0.4,0.66,0.34,0.5,0.5,0.38,0.52,0.05,0.05,0.57,,,,,0.09,0.43,0.06,0.51,0.01,0.01,0.0,0.04,0.07,0.03,0.05,0.07,0.29,0.47,0.51,0.36,0.01,0.03,0.17,0.36,0.05,0.61,0.63,0.02,0.07,0.05,0.01,0.16,0.51,0.07,0.03,0.06,0.01,,,,,,,,,,,,,,,0.23,0.53,0.2,0.04,7.84,0.82,20.58,35.66,36.44,33.79,35.25,35.53,35.7,36.46,48.0,31.0,0.08,68.0
7,Albania,ALB,ECS,All,Upper middle income,UMC,2002,ALB_2002_I2D2_LSMS_V01_M_V01_A.dta,I2D2,3309789,0.28,0.18,0.46,0.09,0.42,0.64,0.57,0.43,0.13,1252204,0.66,0.55,0.25,0.06,0.59,0.9,0.1,0.86,0.14,0.35,0.64,0.0,0.01,0.64,0.79,,,0.61,0.46,0.56,0.15,0.29,0.01,0.05,0.02,0.07,0.1,0.04,0.01,0.04,0.09,0.3,0.22,0.34,0.0,0.01,0.09,0.19,0.02,0.87,0.72,0.02,0.07,0.04,0.01,0.08,0.54,0.11,0.06,0.06,0.01,38.21,0.37,0.25,93.89,16235.49,15876.69,18006.96,15676.04,1.18,0.02,203.83,3.67,0.71,0.81,0.03,0.56,0.34,0.07,8.6,0.8,30.96,37.54,36.05,38.29,39.99,39.09,36.66,38.71,36.0,16.0,0.04,32.0
8,Albania,ALB,ECS,All,Upper middle income,UMC,2005,ALB_2005_I2D2_LSMS_V01_M_V03_A.dta,I2D2,3259106,0.24,0.2,0.48,0.09,0.43,0.67,0.49,0.36,0.13,1225982,0.61,0.5,0.24,0.05,0.57,0.94,0.06,0.88,0.12,0.41,0.2,0.38,0.01,0.58,0.76,,,0.59,0.41,0.49,0.19,0.32,0.01,0.07,0.01,0.1,0.14,0.04,0.01,0.04,0.1,0.38,0.34,0.37,0.02,0.01,0.11,0.28,0.09,0.84,0.65,0.03,0.07,0.05,0.01,0.1,0.47,0.15,0.07,0.05,0.01,43.38,0.22,0.32,1070.2,200000.0,207000.0,200000.02,190000.0,12.77,0.23,2386.68,42.94,0.73,0.95,0.0,0.54,0.37,0.09,8.95,0.9,32.59,39.3,38.43,39.02,40.83,39.91,38.82,43.81,54.0,40.0,0.07,62.0
9,Albania,ALB,ECS,All,Upper middle income,UMC,2008,ALB_2008_I2D2_LSMS_V02_M_V05_A.dta,I2D2,3168282,0.21,0.18,0.49,0.12,0.49,0.68,0.48,0.31,0.17,1237925,0.62,0.53,0.21,0.04,0.57,0.92,0.08,0.78,0.22,0.46,0.25,0.28,0.01,0.53,0.69,,,0.68,0.37,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,43.61,0.17,0.28,1198.7,220000.0,,,,13.14,0.24,2411.4,43.38,0.8,1.25,0.0,0.5,0.37,0.12,9.73,0.85,35.47,40.77,,,,40.38,41.02,45.63,22.0,5.0,0.04,30.0
10,Albania,ALB,ECS,All,Upper middle income,UMC,2012,ALB_2012_I2D2_LSMS_V01_M_V05_A.dta,I2D2,2802801,0.2,0.18,0.5,0.12,0.54,0.68,0.47,0.3,0.17,960074,0.5,0.32,0.26,0.02,0.37,0.73,0.27,0.43,0.57,0.58,0.28,0.12,0.02,0.41,0.59,,,0.7,0.36,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,43.3,0.15,0.26,1726.12,300000.0,,,,16.92,0.3,2940.27,52.89,0.95,1.17,0.0,0.42,0.4,0.18,10.27,0.89,35.7,41.83,,,,41.44,42.36,42.66,44.0,26.0,0.09,70.0
11,Argentina,ARG,LCN,All,High income,HIC,1974,ARG_1974_I2D2_EPH_V01_M_V02_A.dta,I2D2,9167150,0.25,0.16,0.49,0.1,1.0,0.65,0.53,0.38,0.15,3575813,0.6,0.37,0.15,,0.59,0.98,0.02,0.94,0.06,0.76,0.18,0.01,0.05,0.19,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,99.17,,,,,,,,,,,,,,,,0.87,33.03,36.38,,,,34.94,41.5,42.43,23.0,5.0,0.09,71.0
12,Argentina,ARG,LCN,All,High income,HIC,1980,ARG_1980_I2D2_EPH_V01_M_V02_A.dta,I2D2,9587337,0.26,0.15,0.48,0.11,1.0,0.63,0.59,0.41,0.18,3669304,0.61,0.39,0.17,,0.6,0.98,0.02,0.95,0.05,0.72,0.22,0.01,0.05,0.23,0.5,,0.74,0.81,,0.0,0.42,0.58,0.0,0.31,0.01,0.09,0.22,0.06,0.07,0.04,0.19,1.0,1.0,0.7,0.01,0.05,0.21,1.0,0.61,0.77,0.68,,,,,,,,,,,46.51,0.17,0.34,6363.64,1175127.13,1105999.88,1244249.88,1106000.88,,,,,0.71,,0.0,0.55,0.33,0.12,8.15,0.88,33.36,36.68,31.93,36.79,36.89,35.34,40.21,43.15,15.0,2.0,0.03,9.0
13,Argentina,ARG,LCN,All,High income,HIC,1982,ARG_1982_I2D2_EPH_V01_M_V02_A.dta,I2D2,9918419,0.25,0.15,0.49,0.11,1.0,0.63,0.58,0.4,0.18,3733037,0.6,0.39,0.17,,0.58,0.96,0.04,0.94,0.06,0.71,0.23,0.01,0.05,0.24,0.48,,0.5,0.82,,0.0,0.37,0.63,0.0,0.27,0.0,0.09,0.23,0.06,0.09,0.05,0.21,1.0,1.0,0.68,0.01,0.05,0.21,1.0,0.7,0.75,0.7,,,,,,,,,,,47.08,0.14,0.35,20416.67,4055332.25,2230434.0,4055332.75,3832290.0,,,,,0.8,,0.02,0.53,0.34,0.12,8.21,0.91,34.07,37.42,36.48,37.3,37.45,36.14,40.25,44.09,33.0,11.0,0.06,54.0
14,Argentina,ARG,LCN,All,High income,HIC,1987,ARG_1987_I2D2_EPH_V01_M_V02_A.dta,I2D2,10826934,0.27,0.16,0.47,0.1,1.0,0.62,0.61,0.44,0.17,4182804,0.62,0.43,0.14,,0.59,0.95,0.05,0.89,0.11,0.72,0.23,0.0,0.05,0.23,0.54,,0.66,0.75,,0.0,0.32,0.67,0.0,0.26,0.01,0.06,0.24,0.07,0.09,0.05,0.23,1.0,1.0,0.71,0.0,0.05,0.22,1.0,0.67,0.81,0.68,,,,,,,,,,,45.51,0.2,0.36,2.33,406.69,912.45,455.7,405.3,,,,,0.7,,0.0,0.47,0.38,0.16,8.8,0.92,32.72,37.31,36.02,37.31,37.74,36.24,40.77,42.95,2.0,1.0,0.0,1.0
15,Argentina,ARG,LCN,All,High income,HIC,1988,ARG_1988_I2D2_EPH_V01_M_V02_A.dta,I2D2,11099349,0.27,0.16,0.47,0.1,1.0,0.62,0.6,0.44,0.16,4355624,0.63,0.44,0.14,,0.59,0.94,0.06,0.88,0.12,0.71,0.23,0.01,0.05,0.24,0.53,,0.67,0.71,,0.0,0.35,0.65,0.0,0.27,0.01,0.07,0.23,0.07,0.08,0.05,0.23,1.0,1.0,0.71,0.01,0.05,0.22,1.0,0.54,0.76,0.7,,,,,,,,,,,46.31,0.18,0.36,9.72,1824.9,2706.07,2026.94,1824.25,,,,,0.75,,0.0,0.47,0.37,0.16,8.91,0.92,32.57,37.27,36.59,37.17,37.55,35.8,40.75,45.26,1.0,1.0,0.0,1.0
16,Argentina,ARG,LCN,All,High income,HIC,1991,ARG_1991_I2D2_EPH_V01_M_V02_A.dta,I2D2,10913996,0.27,0.16,0.46,0.11,1.0,0.62,0.61,0.44,0.17,4283783,0.63,0.44,0.13,,0.6,0.95,0.05,0.89,0.11,0.71,0.23,0.01,0.05,0.24,0.51,,0.64,0.69,,0.0,0.33,0.66,0.0,0.25,0.01,0.07,0.23,0.07,0.09,0.05,0.22,1.0,1.0,0.7,0.01,0.05,0.23,1.0,0.64,0.76,0.7,,,,,,,,,,,45.24,0.18,0.34,16333.33,3041500.0,1216600.0,3041500.0,3041499.5,,,,,0.87,,0.0,0.43,0.4,0.17,9.2,0.91,32.41,36.93,37.93,36.74,37.02,35.4,40.14,43.43,21.0,4.0,0.03,16.0
17,Argentina,ARG,LCN,All,High income,HIC,1992,ARG_1992_I2D2_EPH_V01_M_V02_A.dta,I2D2,15248085,0.28,0.17,0.45,0.1,1.0,0.62,0.61,0.45,0.16,5988857,0.63,0.46,0.13,,0.59,0.93,0.07,0.86,0.14,0.71,0.23,0.01,0.05,0.24,0.5,,0.67,0.7,0.0,0.01,0.29,0.7,0.0,0.21,0.01,0.06,0.25,0.07,0.08,0.06,0.24,1.0,0.99,0.69,0.01,0.05,0.22,0.99,0.67,0.74,0.7,,,,,,,,,,,45.04,0.21,0.34,2.19,404.74,404.95,404.95,404.35,,,,,0.85,,0.0,0.4,0.41,0.19,9.43,0.92,31.84,37.08,37.91,36.56,37.25,35.63,40.09,42.97,6.0,1.0,0.01,1.0
18,Argentina,ARG,LCN,All,High income,HIC,1993,ARG_1993_I2D2_EPH_V01_M_V02_A.dta,I2D2,15943602,0.27,0.18,0.46,0.1,1.0,0.63,0.59,0.42,0.16,6444636,0.64,0.48,0.13,,0.58,0.91,0.09,0.8,0.2,0.7,0.24,0.01,0.05,0.25,0.52,,0.66,0.69,0.0,0.01,0.28,0.71,0.0,0.2,0.01,0.07,0.25,0.07,0.08,0.07,0.24,1.0,0.99,0.68,0.01,0.05,0.23,0.99,0.55,0.72,0.7,,,,,,,,,,,45.51,0.21,0.37,2.59,482.19,506.41,507.45,456.22,,,,,0.8,,0.0,0.38,0.42,0.2,9.57,0.91,32.18,37.37,37.4,37.02,37.49,35.79,40.29,44.18,6.0,1.0,0.01,1.0
19,Argentina,ARG,LCN,All,High income,HIC,1994,ARG_1994_I2D2_EPH_V01_M_V02_A.dta,I2D2,15837409,0.26,0.18,0.45,0.11,1.0,0.63,0.58,0.42,0.17,6429426,0.64,0.48,0.11,,0.56,0.88,0.12,0.77,0.23,0.71,0.23,0.01,0.04,0.25,0.49,,0.69,0.71,0.0,0.01,0.28,0.72,0.0,0.19,0.01,0.08,0.23,0.08,0.09,0.07,0.24,1.0,0.99,0.69,0.01,0.04,0.23,0.99,0.59,0.71,0.71,,,,,,,,,,,44.68,0.22,0.34,3.13,543.13,434.85,543.99,542.91,,,,,0.68,,0.0,0.38,0.43,0.2,9.59,0.93,32.37,37.05,38.86,36.35,37.33,35.45,40.22,44.8,6.0,1.0,0.01,1.0
20,Argentina,ARG,LCN,All,High income,HIC,1995,ARG_1995_I2D2_EPH_V01_M_V02_A.dta,I2D2,16141239,0.26,0.18,0.45,0.1,1.0,0.63,0.58,0.41,0.16,6667399,0.65,0.5,0.12,,0.54,0.83,0.17,0.7,0.3,0.72,0.22,0.01,0.05,0.24,0.51,,0.66,0.67,0.0,0.01,0.26,0.73,0.0,0.18,0.01,0.07,0.23,0.08,0.1,0.07,0.25,1.0,0.99,0.7,0.01,0.05,0.21,0.99,0.65,0.72,0.72,,,,,,,,,,,43.05,0.27,0.31,2.97,488.81,542.0,542.26,488.38,,,,,0.8,,0.0,0.37,0.42,0.21,9.4,0.93,32.2,37.14,38.62,36.92,37.21,35.75,40.01,43.94,6.0,1.0,0.01,1.0
21,Argentina,ARG,LCN,All,High income,HIC,1996,ARG_1996_I2D2_EPH_V01_M_V02_A.dta,I2D2,16329038,0.26,0.18,0.45,0.11,1.0,0.63,0.58,0.41,0.17,6777200,0.65,0.5,0.13,,0.54,0.82,0.18,0.67,0.33,0.73,0.21,0.01,0.04,0.23,0.52,,0.62,0.65,0.0,0.01,0.26,0.73,0.0,0.18,0.01,0.07,0.23,0.09,0.1,0.08,0.24,1.0,0.99,0.72,0.01,0.04,0.2,0.99,0.75,0.73,0.74,,,,,,,,,,,43.16,0.27,0.32,2.92,488.81,465.78,490.12,488.81,,,,,0.8,,0.01,0.35,0.42,0.22,9.52,0.93,32.33,37.37,38.42,37.27,37.4,36.01,40.46,44.34,5.0,1.0,0.01,1.0
22,Argentina,ARG,LCN,All,High income,HIC,1997,ARG_1997_I2D2_EPH_V01_M_V02_A.dta,I2D2,16590300,0.26,0.18,0.46,0.11,1.0,0.64,0.57,0.4,0.17,6969921,0.66,0.51,0.12,,0.57,0.86,0.14,0.74,0.26,0.73,0.21,0.01,0.05,0.22,0.52,,0.63,0.64,0.0,0.01,0.26,0.73,0.0,0.17,0.01,0.08,0.22,0.09,0.1,0.07,0.25,1.0,0.99,0.72,0.01,0.04,0.2,0.99,0.76,0.74,0.74,,,,,,,,,,,43.1,0.27,0.33,2.92,490.12,543.56,542.26,489.07,,,,,0.8,,0.01,0.34,0.42,0.23,9.53,0.95,32.57,37.53,38.5,37.05,37.69,36.0,41.0,45.5,5.0,1.0,0.01,1.0
23,Argentina,ARG,LCN,All,High income,HIC,1998,ARG_1998_I2D2_EPH_V01_M_V02_A.dta,I2D2,22786672,0.27,0.19,0.45,0.1,1.0,0.63,0.58,0.42,0.16,9242117,0.64,0.49,0.13,,0.56,0.87,0.13,0.76,0.24,0.73,0.21,0.01,0.05,0.22,0.54,,0.62,0.63,0.0,0.01,0.25,0.74,0.0,0.16,0.01,0.09,0.23,0.08,0.1,0.08,0.25,1.0,0.99,0.72,0.01,0.04,0.2,0.99,0.67,0.72,0.75,,,,,,,,,,,43.12,0.29,0.33,2.71,445.1,413.21,488.38,435.54,,,,,0.7,,0.01,0.33,0.43,0.23,9.55,0.95,31.77,37.45,38.91,36.98,37.59,35.95,41.02,44.25,5.0,1.0,0.01,1.0
24,Argentina,ARG,LCN,All,High income,HIC,1999,ARG_1999_I2D2_EPH_V01_M_V02_A.dta,I2D2,23138679,0.26,0.19,0.45,0.1,1.0,0.64,0.57,0.41,0.16,9512400,0.65,0.5,0.12,,0.56,0.86,0.14,0.75,0.25,0.74,0.21,0.01,0.04,0.22,0.54,,0.61,0.62,0.0,0.01,0.24,0.75,0.0,0.15,0.01,0.09,0.23,0.09,0.1,0.08,0.25,1.0,0.99,0.72,0.01,0.04,0.2,0.99,0.69,0.71,0.75,,,,,,,,,,,43.01,0.29,0.33,2.6,434.93,358.46,435.54,434.93,,,,,0.7,,0.01,0.32,0.43,0.24,9.7,0.97,31.76,37.48,37.97,37.03,37.57,36.07,40.74,44.54,5.0,1.0,0.01,1.0
25,Argentina,ARG,LCN,All,High income,HIC,2000,ARG_2000_I2D2_EPH_V01_M_V02_A.dta,I2D2,23434258,0.27,0.18,0.45,0.1,1.0,0.63,0.58,0.42,0.15,9646485,0.65,0.51,0.12,,0.55,0.85,0.15,0.72,0.28,0.73,0.21,0.01,0.04,0.22,0.54,,0.59,0.62,0.17,0.01,0.23,0.76,0.0,0.14,0.01,0.08,0.24,0.08,0.1,0.08,0.26,1.0,0.99,0.72,0.01,0.04,0.2,0.99,0.68,0.69,0.75,,,,,,,,,,,42.56,0.3,0.31,2.5,434.5,326.05,434.85,434.5,,,,,0.8,1.25,0.01,0.31,0.43,0.25,9.75,0.97,31.69,37.78,38.41,37.0,37.97,36.34,41.13,44.72,5.0,1.0,0.01,1.0
26,Argentina,ARG,LCN,All,High income,HIC,2001,ARG_2001_I2D2_EPH_V01_M_V02_A.dta,I2D2,23819119,0.26,0.19,0.45,0.1,1.0,0.64,0.57,0.41,0.16,9692743,0.64,0.5,0.11,,0.52,0.81,0.19,0.68,0.32,0.72,0.23,0.01,0.04,0.24,0.55,,0.59,0.62,0.0,0.01,0.22,0.77,0.0,0.14,0.01,0.07,0.24,0.08,0.09,0.09,0.27,1.0,0.99,0.71,0.01,0.04,0.21,0.99,0.67,0.66,0.75,,,,,,,,,,,41.3,0.33,0.3,2.5,434.07,433.8,434.33,433.98,,,,,0.87,,0.01,0.31,0.43,0.25,9.84,0.97,31.88,38.17,39.02,37.54,38.36,36.79,41.1,45.35,9.0,1.0,0.01,2.0
27,Argentina,ARG,LCN,All,High income,HIC,2002,ARG_2002_I2D2_EPH_V01_M_V02_A.dta,I2D2,24193672,0.26,0.19,0.45,0.1,1.0,0.64,0.57,0.41,0.16,10027948,0.65,0.53,0.11,,0.53,0.82,0.18,0.67,0.33,0.73,0.22,0.01,0.04,0.23,0.59,,0.55,0.56,0.0,0.01,0.2,0.78,0.0,0.13,0.0,0.07,0.22,0.07,0.09,0.11,0.29,0.99,0.98,0.71,0.01,0.04,0.21,0.98,0.73,0.62,0.76,,,,,,,,,,,39.07,0.39,0.26,2.38,379.97,217.25,412.77,379.97,,,,,0.75,,0.01,0.29,0.44,0.27,9.96,0.97,31.88,38.27,38.0,38.32,38.27,36.97,41.17,45.42,8.0,1.0,0.01,1.0
28,Argentina,ARG,LCN,All,High income,HIC,2003,ARG_2003_I2D2_EPHC_S2_V01_M_V03_A.dta,I2D2,19850118,0.26,0.18,0.46,0.1,1.0,0.64,0.56,0.4,0.15,8856287,0.7,0.58,0.12,,0.59,0.85,0.15,0.67,0.33,0.75,0.2,0.01,0.04,0.21,0.61,,0.51,0.51,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.06,0.08,0.18,0.0,0.4,0.01,0.23,0.01,0.04,0.0,38.95,0.39,0.27,2.79,436.24,,,,,,,,0.66,,0.01,0.29,0.43,0.27,10.54,0.96,32.0,38.04,,,,36.92,40.82,44.83,11.0,2.0,0.02,3.0
29,Argentina,ARG,LCN,All,High income,HIC,2004,ARG_2004_I2D2_EPHC_S2_V01_M_V03_A.dta,I2D2,19972998,0.25,0.18,0.47,0.1,1.0,0.64,0.55,0.39,0.16,8907467,0.7,0.58,0.12,,0.61,0.87,0.13,0.73,0.27,0.75,0.2,0.01,0.04,0.21,0.6,,0.53,0.52,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.06,0.08,0.17,0.0,0.4,0.01,0.24,0.01,0.04,0.0,39.73,0.37,0.28,3.14,539.89,,,,,,,,0.67,,0.01,0.29,0.42,0.29,10.23,0.96,32.51,38.11,,,,36.88,41.34,44.45,7.0,1.0,0.01,2.0
30,Argentina,ARG,LCN,All,High income,HIC,2005,ARG_2005_I2D2_EPHC_S2_V01_M_V03_A.dta,I2D2,23409230,0.25,0.18,0.47,0.1,1.0,0.65,0.54,0.38,0.16,10432458,0.69,0.57,0.12,,0.62,0.89,0.11,0.76,0.24,0.75,0.19,0.01,0.04,0.2,0.58,,0.55,0.55,0.0,0.01,0.24,0.75,0.0,0.14,0.01,0.08,0.23,0.07,0.1,0.07,0.28,0.99,0.98,0.74,0.01,0.04,0.19,0.98,0.67,0.72,0.77,0.06,0.08,0.17,0.0,0.39,0.01,0.25,0.01,0.04,0.0,40.53,0.34,0.29,4.06,661.0,321.38,661.0,661.0,,,,,0.69,,0.01,0.27,0.43,0.29,10.3,0.97,32.62,38.11,37.17,37.25,38.36,36.86,41.38,44.8,10.0,1.0,0.01,1.0
31,Argentina,ARG,LCN,All,High income,HIC,2006,ARG_2006_I2D2_EPHC_S2_V01_M_V03_A.dta,I2D2,20360912,0.25,0.18,0.48,0.1,1.0,0.65,0.54,0.38,0.16,9110966,0.69,0.57,0.12,,0.62,0.91,0.09,0.77,0.23,0.77,0.18,0.01,0.04,0.19,0.55,,0.58,0.58,0.0,0.01,0.24,0.75,0.0,0.14,0.0,0.09,0.24,0.07,0.1,0.07,0.28,1.0,0.99,0.76,0.01,0.04,0.18,0.99,0.65,0.74,0.78,0.06,0.07,0.17,0.0,0.4,0.01,0.25,0.01,0.03,0.0,40.6,0.33,0.28,5.06,879.55,536.68,879.55,879.55,,,,,0.67,,0.01,0.25,0.44,0.29,10.41,0.97,32.65,38.1,38.42,37.3,38.32,36.8,42.15,43.84,14.0,2.0,0.02,3.0
